Articles,Gender,Kids,Married,Mentor,Prestige
1-2,female,no,yes,low,high
1-2,male,yes,yes,low,high
0,female,no,no,low,high
1-2,male,no,yes,medium,low
0,female,yes,yes,high,low
>2,female,yes,yes,low,low
>2,female,no,no,high,high
1-2,male,yes,yes,medium,high
1-2,female,yes,yes,high,low
1-2,male,yes,yes,high,high
>2,female,no,yes,high,high
1-2,female,yes,yes,medium,low
1-2,male,yes,yes,high,low
1-2,female,no,yes,high,low
0,male,no,yes,medium,low
>2,male,no,no,high,high
0,male,yes,yes,low,low
0,female,no,yes,low,high
1-2,female,no,yes,high,high
0,female,no,no,high,low
1-2,male,no,yes,low,high
0,female,no,yes,medium,low
>2,female,yes,yes,medium,high
1-2,male,yes,yes,high,low
1-2,male,yes,yes,medium,low
1-2,female,no,no,medium,low
1-2,male,no,yes,low,low
>2,male,no,no,high,low
0,male,yes,yes,low,high
0,male,no,no,medium,high
0,male,no,yes,medium,low
0,female,no,no,low,low
0,male,no,yes,high,low
>2,female,no,no,high,low
1-2,male,no,no,high,high
1-2,male,no,yes,low,low
1-2,female,no,yes,high,high
0,male,no,yes,medium,low
1-2,male,yes,yes,low,low
0,female,no,no,high,low
1-2,male,no,yes,medium,low
1-2,female,no,yes,low,high
>2,male,yes,yes,medium,low
1-2,male,no,yes,low,low
1-2,male,no,yes,low,high
0,female,no,no,medium,low
1-2,female,no,no,low,high
1-2,female,no,no,medium,low
0,female,yes,yes,low,low
1-2,male,no,yes,medium,low
0,female,no,no,medium,low
1-2,male,yes,yes,high,high
1-2,male,no,no,medium,high
1-2,male,no,yes,medium,low
>2,male,yes,yes,high,high
0,male,yes,yes,medium,low
1-2,female,yes,yes,high,high
1-2,female,no,yes,medium,low
>2,male,no,yes,high,low
1-2,male,yes,yes,medium,low
>2,female,no,yes,high,low
1-2,female,no,no,low,high
0,male,yes,yes,medium,high
>2,male,no,yes,medium,high
1-2,male,yes,yes,low,high
0,female,no,no,medium,high
0,female,yes,yes,medium,low
1-2,female,no,yes,low,high
1-2,female,no,no,low,low
0,male,no,yes,medium,low
1-2,female,yes,yes,medium,low
1-2,male,no,yes,high,high
1-2,male,yes,yes,medium,low
1-2,male,no,yes,low,low
>2,female,no,no,high,high
1-2,female,no,yes,medium,high
>2,male,yes,yes,high,high
0,male,no,yes,low,low
1-2,female,no,no,medium,low
1-2,female,yes,yes,low,low
1-2,female,no,no,medium,low
>2,female,no,no,low,high
0,female,no,no,high,low
0,male,no,yes,low,low
1-2,male,no,no,low,high
1-2,female,no,no,low,low
1-2,female,no,no,medium,high
1-2,female,yes,yes,high,high
1-2,female,no,no,high,high
1-2,female,no,yes,low,low
1-2,male,no,yes,medium,high
0,male,yes,yes,high,high
0,male,no,yes,low,high
>2,male,yes,yes,high,low
1-2,male,no,yes,medium,low
1-2,male,yes,yes,low,low
1-2,female,yes,yes,medium,low
0,male,yes,yes,high,high
>2,male,no,no,high,high
0,female,no,no,high,low
1-2,male,yes,yes,high,high
0,female,no,no,low,low
0,female,yes,yes,low,high
0,male,no,yes,low,low
>2,female,no,yes,low,low
>2,female,no,no,low,low
>2,female,no,no,high,high
>2,female,no,yes,low,high
>2,male,yes,yes,high,low
1-2,female,no,no,medium,high
0,female,yes,yes,medium,high
>2,male,no,yes,medium,low
1-2,female,no,yes,medium,low
1-2,male,no,yes,low,low
>2,male,yes,yes,medium,low
>2,male,no,yes,high,low
>2,female,no,yes,high,high
0,female,yes,yes,low,high
1-2,male,yes,yes,low,low
0,male,yes,yes,medium,low
1-2,female,no,no,high,high
0,female,no,yes,low,low
0,female,no,yes,medium,low
1-2,female,no,yes,high,high
0,female,yes,yes,low,high
0,female,no,no,low,low
>2,male,yes,yes,high,low
0,male,no,yes,low,high
>2,female,no,no,medium,low
1-2,female,no,yes,low,high
>2,male,yes,yes,high,high
>2,male,no,yes,medium,low
>2,female,no,no,medium,high
>2,male,yes,yes,high,high
0,female,no,no,low,low
0,female,no,yes,low,high
0,female,no,yes,medium,low
1-2,female,yes,yes,high,high
1-2,male,no,yes,low,low
0,female,no,yes,low,low
1-2,female,no,no,low,low
1-2,female,no,no,high,high
1-2,female,no,yes,medium,low
1-2,male,yes,yes,high,low
>2,female,no,no,high,high
1-2,female,no,yes,high,low
1-2,female,no,no,medium,low
1-2,female,no,yes,medium,high
>2,female,no,no,low,high
>2,male,no,yes,high,high
1-2,female,yes,yes,medium,high
0,male,yes,yes,low,high
0,female,yes,yes,low,low
1-2,female,no,no,medium,high
1-2,female,no,no,medium,high
>2,female,no,yes,high,high
1-2,female,no,no,high,high
1-2,female,yes,yes,low,high
>2,male,yes,yes,high,high
0,male,yes,yes,medium,low
1-2,male,yes,yes,high,high
0,male,yes,yes,high,low
>2,female,no,yes,high,high
1-2,female,no,no,low,low
1-2,male,no,no,high,low
0,male,no,yes,medium,low
1-2,female,no,no,high,high
1-2,female,no,yes,low,high
>2,female,no,yes,medium,high
0,male,no,no,medium,low
1-2,male,yes,yes,medium,high
0,male,yes,yes,medium,high
1-2,male,yes,yes,medium,high
>2,female,no,no,medium,low
0,male,no,yes,medium,low
0,female,no,yes,medium,high
0,female,yes,yes,low,high
0,female,yes,yes,low,high
>2,female,no,yes,medium,high
1-2,female,yes,yes,high,high
1-2,female,yes,yes,medium,high
1-2,female,no,no,medium,low
>2,male,yes,yes,high,low
>2,male,yes,yes,medium,low
0,female,no,no,low,low
>2,female,no,yes,medium,high
1-2,male,yes,yes,high,high
1-2,male,no,yes,low,low
0,female,no,no,medium,high
>2,male,yes,yes,medium,low
1-2,male,yes,yes,high,low
1-2,female,no,no,medium,low
0,female,no,no,high,low
0,male,yes,yes,medium,low
>2,female,no,no,low,high
0,male,yes,yes,high,high
0,male,yes,yes,low,high
0,male,no,yes,low,low
>2,male,no,yes,low,high
1-2,female,no,no,medium,low
1-2,male,no,no,medium,low
0,male,yes,yes,medium,low
>2,male,no,yes,medium,low
1-2,male,yes,yes,low,low
1-2,female,yes,yes,medium,low
1-2,female,no,yes,low,low
0,female,no,no,medium,low
0,male,no,no,medium,high
1-2,male,no,yes,medium,low
0,female,yes,yes,medium,high
>2,female,no,yes,high,high
1-2,female,no,no,low,high
1-2,male,no,yes,high,high
1-2,male,yes,yes,medium,low
0,female,no,no,low,low
1-2,female,no,yes,low,low
1-2,male,yes,yes,medium,high
1-2,female,no,yes,medium,low
>2,female,no,yes,medium,low
0,female,no,yes,high,low
0,male,yes,yes,low,high
>2,male,yes,yes,high,high
0,female,no,no,low,high
1-2,male,yes,yes,medium,high
0,female,no,yes,medium,high
1-2,male,yes,yes,high,high
0,male,yes,yes,low,low
1-2,male,no,no,high,high
0,male,no,no,low,low
1-2,male,yes,yes,medium,low
1-2,male,yes,yes,medium,high
1-2,male,no,yes,medium,high
0,female,no,no,high,low
1-2,female,yes,yes,medium,high
1-2,female,yes,yes,medium,high
>2,male,no,yes,medium,high
1-2,male,yes,yes,low,high
0,female,no,no,high,low
1-2,male,no,yes,high,high
1-2,male,yes,yes,high,high
1-2,female,no,no,high,high
1-2,male,no,yes,high,high
1-2,male,no,yes,low,low
>2,female,no,no,high,low
0,male,yes,yes,low,low
>2,female,yes,yes,high,high
0,female,no,no,low,high
0,male,no,no,medium,high
1-2,male,yes,yes,medium,high
1-2,male,yes,yes,high,low
>2,female,no,yes,medium,low
1-2,male,no,yes,high,high
0,male,yes,yes,medium,low
1-2,male,yes,yes,low,low
1-2,male,no,no,medium,low
0,female,no,no,low,low
0,female,no,no,medium,low
0,female,no,yes,low,high
1-2,male,no,no,medium,high
0,male,yes,yes,medium,low
1-2,male,yes,yes,high,high
1-2,female,no,yes,medium,high
0,female,yes,yes,medium,high
0,female,no,yes,low,high
0,male,no,yes,medium,low
0,female,no,no,medium,high
>2,male,no,no,high,high
1-2,female,no,yes,medium,high
1-2,female,no,no,high,high
0,male,no,yes,high,high
1-2,female,no,no,high,low
>2,male,yes,yes,high,low
1-2,female,no,no,medium,high
1-2,female,no,yes,low,high
>2,male,no,no,medium,low
1-2,male,yes,yes,low,low
>2,male,no,no,low,low
0,female,no,yes,low,high
1-2,female,no,no,low,low
1-2,female,no,no,low,high
0,female,no,no,medium,high
0,female,no,no,low,high
>2,male,yes,yes,medium,low
1-2,female,no,no,medium,high
1-2,male,no,yes,low,low
0,male,no,no,medium,high
>2,male,no,no,high,high
>2,male,no,no,medium,high
0,male,no,no,medium,high
>2,male,yes,yes,medium,high
1-2,female,yes,yes,low,low
1-2,female,no,no,low,high
0,female,no,no,low,low
1-2,male,no,yes,medium,high
1-2,male,yes,yes,medium,low
1-2,female,yes,yes,medium,low
1-2,male,yes,yes,low,high
1-2,male,no,no,medium,high
1-2,female,no,no,medium,high
>2,male,yes,yes,medium,low
0,male,yes,yes,low,high
>2,male,yes,yes,high,low
>2,male,no,yes,medium,low
0,male,no,no,low,low
1-2,male,yes,yes,high,low
1-2,female,no,yes,high,high
0,male,yes,yes,low,low
1-2,female,no,no,medium,high
0,male,yes,yes,medium,low
1-2,female,no,yes,medium,low
1-2,male,yes,yes,low,low
1-2,female,yes,yes,medium,low
1-2,female,no,no,high,high
1-2,male,no,no,low,high
0,female,no,no,medium,high
1-2,male,yes,yes,medium,low
0,female,no,yes,low,low
1-2,female,no,no,low,low
1-2,female,no,no,low,low
1-2,female,no,no,high,high
>2,male,no,yes,medium,low
>2,female,yes,yes,low,high
1-2,male,no,no,medium,high
0,male,yes,yes,medium,low
1-2,male,yes,yes,high,low
0,female,no,yes,medium,low
>2,female,no,yes,high,low
1-2,male,yes,yes,high,low
>2,male,no,no,high,high
0,male,no,no,low,low
>2,male,no,yes,low,low
>2,male,no,yes,medium,high
1-2,female,no,yes,high,high
0,female,no,no,medium,low
0,male,no,yes,high,low
1-2,male,yes,yes,medium,low
0,female,yes,yes,high,high
1-2,female,no,no,medium,low
1-2,male,no,yes,low,high
1-2,female,no,no,high,high
1-2,female,no,no,high,high
1-2,female,no,yes,medium,high
0,male,no,yes,low,low
0,male,yes,yes,low,low
>2,male,no,no,medium,high
0,female,no,no,medium,low
1-2,female,yes,yes,high,high
>2,male,no,yes,high,low
>2,female,no,yes,high,low
0,female,no,yes,medium,low
>2,male,no,no,high,high
>2,male,no,yes,medium,high
1-2,male,no,yes,medium,low
1-2,female,no,no,medium,high
1-2,female,no,yes,low,high
1-2,male,no,no,high,high
1-2,male,no,yes,high,low
1-2,male,yes,yes,high,low
1-2,male,no,no,low,high
1-2,male,no,no,medium,low
0,female,no,no,high,high
1-2,male,yes,yes,high,high
0,male,yes,yes,low,low
0,female,yes,yes,medium,high
1-2,male,yes,yes,low,low
0,male,yes,yes,low,low
0,male,no,no,medium,high
1-2,female,no,yes,medium,high
0,male,yes,yes,high,high
0,male,no,yes,low,high
1-2,male,no,yes,high,high
0,female,no,yes,low,low
0,male,no,no,medium,high
>2,male,no,no,medium,high
>2,male,yes,yes,medium,high
1-2,female,yes,yes,high,high
1-2,female,no,yes,medium,low
1-2,male,no,yes,medium,low
1-2,female,no,no,high,high
>2,male,no,yes,medium,high
1-2,female,no,yes,low,low
>2,male,yes,yes,high,low
1-2,male,yes,yes,medium,low
1-2,male,yes,yes,low,high
0,male,no,no,low,low
1-2,female,no,yes,high,high
1-2,male,no,no,high,low
0,female,no,yes,low,low
>2,male,no,no,medium,high
1-2,male,no,yes,low,low
1-2,male,yes,yes,medium,high
1-2,female,no,no,medium,high
>2,male,no,yes,high,high
0,female,no,no,low,low
>2,female,yes,yes,low,high
>2,female,no,yes,high,low
1-2,male,no,no,medium,low
1-2,male,no,yes,high,high
1-2,male,yes,yes,medium,low
>2,female,no,no,medium,high
1-2,female,no,no,high,high
0,female,no,yes,low,low
0,female,no,no,high,high
1-2,male,yes,yes,high,high
0,female,yes,yes,low,high
0,female,yes,yes,low,low
0,female,no,no,low,low
>2,female,yes,yes,high,high
1-2,female,no,no,high,high
1-2,male,yes,yes,medium,low
0,female,no,yes,medium,high
0,female,yes,yes,low,low
0,male,yes,yes,high,high
1-2,male,yes,yes,medium,low
1-2,male,no,no,medium,low
1-2,female,no,yes,medium,high
1-2,male,no,no,medium,low
>2,female,no,yes,high,high
0,female,no,no,low,low
>2,female,no,yes,medium,high
>2,male,no,yes,low,low
0,female,no,no,medium,high
0,male,yes,yes,low,high
1-2,male,yes,yes,high,high
1-2,male,yes,yes,medium,low
>2,male,no,no,high,high
>2,female,no,yes,medium,high
0,male,yes,yes,low,low
1-2,male,yes,yes,medium,high
0,female,no,no,medium,high
>2,male,no,no,high,high
>2,male,yes,yes,medium,low
>2,male,no,yes,high,high
>2,female,no,no,low,high
0,male,yes,yes,medium,low
1-2,male,no,yes,low,low
0,male,yes,yes,high,low
>2,male,no,no,low,high
1-2,female,no,no,medium,low
1-2,female,no,no,low,low
0,male,no,no,low,high
1-2,male,yes,yes,low,high
>2,male,no,no,high,high
1-2,female,no,no,medium,low
0,male,no,no,low,low
>2,male,no,yes,high,low
>2,male,no,yes,high,high
0,male,no,no,low,low
1-2,male,yes,yes,medium,low
1-2,male,no,no,medium,low
1-2,male,yes,yes,low,low
>2,male,yes,yes,high,low
0,female,no,no,low,high
1-2,male,no,yes,medium,low
1-2,male,no,no,high,low
1-2,male,yes,yes,medium,high
0,female,no,no,low,high
1-2,female,no,no,medium,low
>2,male,no,yes,medium,high
0,female,no,no,low,high
0,female,no,no,low,high
0,female,no,no,medium,high
>2,male,no,yes,high,high
>2,male,yes,yes,medium,low
>2,male,yes,yes,low,low
0,female,yes,yes,medium,high
0,male,yes,yes,high,low
>2,male,no,yes,high,high
0,male,yes,yes,low,low
1-2,female,yes,yes,high,high
1-2,male,yes,yes,low,high
>2,male,yes,yes,high,low
1-2,female,yes,yes,high,high
>2,female,no,no,high,low
1-2,male,yes,yes,low,low
0,female,yes,yes,low,high
0,male,yes,yes,high,low
>2,male,yes,yes,medium,low
0,female,yes,yes,low,high
>2,male,yes,yes,high,high
>2,male,yes,yes,medium,low
0,male,no,yes,low,low
1-2,female,no,yes,medium,high
0,male,no,no,medium,high
0,female,no,no,high,high
1-2,female,yes,yes,high,high
1-2,male,no,no,medium,high
>2,female,yes,yes,high,low
1-2,male,no,no,medium,low
>2,male,no,no,high,high
>2,female,no,no,high,high
1-2,male,yes,yes,low,low
1-2,male,yes,yes,medium,high
1-2,female,yes,yes,high,high
>2,female,no,yes,high,high
>2,female,no,no,high,low
1-2,male,yes,yes,medium,high
1-2,female,yes,yes,low,low
1-2,male,yes,yes,medium,low
1-2,male,yes,yes,low,low
1-2,male,yes,yes,medium,low
>2,male,no,yes,medium,low
0,female,yes,yes,low,low
>2,male,yes,yes,medium,low
1-2,male,no,yes,low,low
>2,female,no,no,medium,low
1-2,female,yes,yes,medium,low
>2,male,yes,yes,medium,low
1-2,male,no,yes,low,low
1-2,female,yes,yes,medium,low
>2,male,no,yes,high,high
>2,male,yes,yes,low,high
0,male,no,yes,low,low
0,female,no,no,low,high
0,male,yes,yes,low,low
>2,female,no,no,medium,high
1-2,female,no,yes,high,high
0,male,no,no,low,low
>2,male,no,no,high,high
1-2,female,no,no,medium,high
1-2,male,no,no,medium,high
0,female,no,no,low,low
1-2,male,yes,yes,medium,high
1-2,male,no,yes,low,low
>2,male,yes,yes,high,high
0,female,no,no,low,high
0,female,no,no,low,low
1-2,female,no,yes,high,low
0,male,no,no,medium,low
0,male,no,yes,low,low
1-2,female,no,no,low,low
1-2,male,no,yes,low,low
>2,male,yes,yes,high,low
1-2,female,no,no,medium,low
1-2,male,no,yes,low,low
>2,male,no,yes,medium,high
1-2,male,yes,yes,low,high
0,female,no,no,medium,high
1-2,male,no,no,low,high
0,female,no,yes,low,low
1-2,male,no,yes,high,high
0,male,no,yes,high,high
1-2,male,yes,yes,high,low
>2,male,yes,yes,high,high
1-2,male,no,yes,high,high
>2,male,no,yes,low,high
0,male,no,yes,medium,high
>2,male,no,yes,low,high
0,female,yes,yes,medium,high
0,female,no,no,medium,high
1-2,male,yes,yes,medium,high
1-2,male,no,yes,medium,low
0,male,no,yes,low,low
1-2,male,no,no,high,low
1-2,female,no,yes,high,low
1-2,female,no,yes,high,high
0,male,yes,yes,low,low
1-2,female,no,no,high,low
1-2,male,yes,yes,low,low
0,female,yes,yes,low,low
>2,male,yes,yes,high,high
>2,male,no,yes,high,high
>2,male,no,yes,high,high
1-2,male,no,no,high,high
1-2,female,no,no,high,high
1-2,male,no,no,high,high
>2,male,no,no,high,high
1-2,female,no,no,medium,low
>2,female,no,yes,low,low
>2,male,no,yes,low,low
1-2,male,no,no,medium,high
>2,male,no,yes,high,low
1-2,female,yes,yes,low,high
1-2,male,yes,yes,low,low
1-2,male,yes,yes,medium,low
1-2,female,no,no,low,low
