Use,Age,Degree,Gender,Activity
y,>30,yes,female,no
n,>30,yes,female,yes
n,>30,yes,male,yes
n,<=30,no,female,yes
n,<=30,no,female,no
n,<=30,yes,female,no
y,<=30,yes,female,yes
y,<=30,no,female,yes
n,<=30,no,female,no
n,>30,no,male,yes
n,<=30,no,male,no
n,>30,no,male,no
n,>30,yes,female,yes
n,>30,yes,male,no
n,>30,yes,female,yes
n,>30,yes,female,yes
n,<=30,yes,female,yes
n,<=30,yes,male,no
n,>30,no,female,yes
y,<=30,yes,male,yes
y,<=30,no,female,no
n,<=30,yes,female,yes
n,<=30,no,female,yes
n,>30,no,male,yes
n,<=30,yes,male,yes
n,<=30,yes,female,yes
y,>30,yes,female,no
y,<=30,no,male,yes
n,<=30,yes,female,no
y,<=30,no,female,yes
n,>30,no,male,yes
y,<=30,no,female,yes
n,>30,yes,male,yes
y,<=30,yes,female,yes
n,<=30,no,male,yes
n,<=30,yes,male,no
n,>30,yes,male,yes
n,>30,yes,male,yes
n,<=30,yes,female,yes
y,<=30,yes,male,no
y,<=30,yes,female,no
n,>30,yes,female,yes
y,<=30,yes,female,no
n,<=30,yes,female,no
n,>30,yes,female,no
n,>30,yes,female,no
n,>30,yes,female,yes
n,>30,no,female,yes
y,>30,yes,female,yes
y,>30,no,female,no
n,>30,yes,female,yes
n,<=30,no,male,yes
n,>30,no,male,yes
n,>30,yes,female,yes
y,>30,yes,female,no
y,<=30,yes,male,no
n,>30,no,male,yes
n,>30,yes,female,yes
n,>30,yes,female,yes
n,>30,yes,female,no
y,<=30,yes,male,yes
n,>30,yes,male,yes
y,<=30,no,female,no
y,<=30,yes,female,yes
y,<=30,yes,female,no
y,<=30,yes,female,yes
n,>30,no,female,yes
n,<=30,yes,male,yes
n,>30,yes,male,yes
y,>30,yes,female,yes
y,<=30,no,female,yes
n,>30,no,male,yes
y,>30,yes,male,yes
n,>30,yes,female,yes
y,>30,yes,male,yes
n,<=30,no,female,no
n,>30,yes,female,yes
n,>30,yes,female,no
y,<=30,no,male,no
n,<=30,yes,male,yes
y,>30,yes,female,yes
y,>30,no,female,no
n,>30,yes,female,yes
n,>30,yes,female,no
n,>30,yes,female,yes
n,>30,yes,male,yes
y,<=30,yes,male,yes
n,>30,no,male,yes
y,>30,no,male,yes
n,<=30,no,male,yes
n,<=30,no,male,yes
n,<=30,yes,female,no
y,<=30,no,female,yes
y,<=30,yes,female,yes
n,<=30,yes,male,yes
n,<=30,yes,female,no
n,>30,yes,male,no
n,>30,no,female,yes
y,>30,no,female,yes
n,>30,no,female,no
n,>30,no,male,yes
n,>30,no,female,yes
y,>30,yes,male,yes
n,<=30,yes,female,no
n,<=30,yes,female,yes
y,<=30,no,female,yes
n,<=30,no,male,no
n,<=30,yes,female,yes
n,<=30,yes,female,yes
n,>30,yes,female,yes
n,>30,no,female,yes
y,<=30,no,male,yes
n,>30,no,female,yes
n,>30,yes,male,yes
n,<=30,yes,female,no
y,>30,yes,female,no
n,<=30,yes,female,no
n,<=30,no,female,yes
y,<=30,yes,female,yes
n,>30,yes,female,no
n,>30,no,female,yes
n,<=30,yes,female,yes
y,<=30,yes,male,no
n,>30,no,female,yes
n,>30,yes,male,no
n,>30,no,female,yes
y,<=30,no,female,no
n,<=30,yes,female,no
n,<=30,yes,female,yes
y,<=30,no,female,no
y,<=30,yes,female,yes
n,>30,no,female,yes
n,>30,yes,female,no
y,<=30,yes,female,yes
y,>30,yes,male,yes
y,<=30,yes,male,no
n,<=30,yes,male,no
y,>30,yes,female,yes
n,>30,yes,male,yes
y,<=30,no,male,no
n,>30,yes,female,yes
n,>30,no,female,yes
n,>30,yes,female,no
n,>30,yes,female,yes
n,>30,yes,female,yes
n,<=30,yes,female,yes
y,<=30,yes,male,yes
y,<=30,yes,female,yes
y,<=30,no,male,yes
n,>30,no,male,yes
n,>30,no,female,yes
n,>30,no,female,no
y,<=30,yes,male,yes
n,<=30,no,male,yes
n,>30,no,female,no
n,>30,yes,female,no
y,<=30,yes,female,yes
n,>30,no,female,yes
n,>30,yes,female,yes
n,>30,yes,female,yes
n,>30,no,male,yes
n,>30,yes,female,yes
n,>30,no,male,no
y,<=30,no,male,yes
y,>30,yes,male,yes
n,>30,yes,female,yes
n,>30,no,male,yes
n,<=30,yes,female,yes
y,<=30,no,female,yes
n,<=30,no,male,yes
y,<=30,no,female,no
y,<=30,yes,female,yes
n,>30,yes,male,no
n,>30,no,female,yes
n,>30,yes,female,no
n,>30,yes,male,yes
n,<=30,yes,female,yes
y,<=30,yes,female,yes
y,>30,yes,female,yes
y,<=30,no,female,no
y,>30,yes,male,yes
n,>30,yes,female,yes
n,<=30,no,female,yes
y,<=30,yes,female,yes
n,>30,yes,female,no
n,>30,yes,male,yes
n,>30,yes,female,yes
n,>30,yes,female,no
n,<=30,no,female,yes
n,>30,yes,male,yes
y,<=30,yes,female,yes
n,>30,no,female,yes
y,<=30,yes,male,yes
n,<=30,yes,male,yes
y,<=30,no,female,no
y,<=30,yes,female,yes
y,<=30,yes,female,yes
y,<=30,yes,male,yes
n,>30,no,female,yes
y,<=30,yes,female,no
n,<=30,no,female,yes
n,>30,yes,female,no
n,<=30,no,male,yes
y,<=30,yes,male,yes
n,>30,yes,male,yes
y,<=30,yes,female,yes
y,<=30,yes,male,yes
y,<=30,no,female,no
y,<=30,no,female,yes
y,<=30,yes,female,no
y,<=30,no,male,yes
y,<=30,yes,male,yes
y,<=30,yes,male,yes
y,<=30,no,female,yes
n,<=30,yes,female,no
n,>30,yes,female,yes
n,<=30,no,male,no
n,>30,yes,female,yes
y,<=30,yes,male,yes
n,<=30,yes,male,yes
n,>30,yes,female,no
n,>30,yes,male,yes
y,<=30,no,female,yes
n,>30,no,female,no
y,<=30,no,female,yes
n,<=30,yes,female,yes
n,<=30,yes,male,no
n,>30,no,male,yes
n,<=30,no,male,no
y,>30,yes,female,no
n,>30,yes,female,no
n,<=30,no,female,no
y,>30,yes,female,yes
n,<=30,no,female,no
n,<=30,no,female,no
y,<=30,yes,female,yes
y,<=30,yes,male,yes
y,>30,yes,female,yes
n,<=30,no,male,yes
y,>30,yes,female,yes
n,<=30,yes,female,yes
n,<=30,yes,female,yes
y,>30,no,male,yes
n,<=30,yes,female,yes
n,>30,no,female,no
n,<=30,no,female,yes
y,<=30,yes,male,yes
y,<=30,yes,male,yes
n,<=30,yes,female,yes
n,<=30,yes,female,yes
y,>30,yes,male,yes
y,>30,yes,male,yes
y,<=30,no,female,no
y,<=30,no,female,yes
n,>30,no,female,yes
n,>30,yes,male,yes
y,<=30,no,male,yes
n,>30,no,female,yes
y,<=30,yes,female,yes
n,>30,no,female,yes
n,<=30,yes,female,yes
y,<=30,no,female,yes
n,<=30,yes,male,yes
y,<=30,yes,female,yes
n,<=30,yes,female,yes
y,<=30,yes,male,yes
y,>30,yes,female,yes
n,>30,yes,female,yes
n,<=30,yes,female,yes
n,<=30,no,male,no
y,<=30,yes,male,yes
n,<=30,no,female,yes
y,>30,no,male,no
n,<=30,no,female,yes
n,<=30,yes,female,yes
n,<=30,yes,female,yes
n,<=30,yes,female,yes
n,>30,yes,male,yes
n,>30,no,male,yes
n,>30,no,female,yes
n,<=30,yes,female,yes
y,>30,yes,male,yes
n,>30,no,female,yes
y,>30,no,female,yes
y,<=30,yes,female,yes
y,<=30,no,female,yes
y,<=30,no,male,no
y,<=30,yes,female,yes
n,<=30,yes,female,no
n,>30,yes,female,yes
n,>30,no,male,yes
n,>30,yes,female,no
y,>30,no,female,yes
n,>30,yes,female,yes
n,>30,yes,male,yes
n,<=30,yes,male,yes
n,>30,no,female,yes
y,<=30,yes,male,yes
n,<=30,no,female,yes
n,<=30,yes,female,yes
y,<=30,no,male,yes
y,<=30,no,female,yes
y,<=30,yes,male,no
y,>30,yes,female,yes
n,<=30,yes,female,yes
n,>30,yes,female,no
y,<=30,no,female,yes
n,<=30,yes,male,yes
y,<=30,yes,female,yes
n,>30,yes,male,no
n,<=30,no,female,no
n,>30,yes,female,yes
n,>30,yes,male,no
y,<=30,no,female,yes
y,>30,yes,female,no
y,<=30,no,female,yes
n,>30,yes,male,yes
n,>30,yes,female,yes
y,<=30,yes,female,no
n,>30,yes,male,yes
y,<=30,yes,female,yes
n,<=30,yes,female,no
y,<=30,yes,male,yes
y,<=30,no,female,yes
n,>30,yes,male,yes
n,>30,yes,male,no
y,>30,no,female,yes
n,>30,yes,female,yes
y,>30,no,female,yes
y,<=30,yes,female,yes
n,>30,yes,female,yes
n,>30,yes,female,yes
n,>30,yes,female,no
y,>30,no,female,no
n,>30,yes,female,yes
y,<=30,yes,male,yes
n,>30,yes,male,yes
n,>30,yes,male,yes
n,<=30,no,female,yes
n,>30,no,female,yes
y,<=30,no,male,yes
y,<=30,no,male,yes
y,<=30,no,male,no
n,>30,yes,female,yes
n,<=30,no,male,yes
n,<=30,no,female,no
n,>30,yes,female,yes
y,>30,no,female,no
y,<=30,yes,male,yes
n,<=30,yes,female,yes
n,<=30,yes,female,no
y,<=30,no,male,yes
n,>30,yes,female,yes
y,>30,yes,female,yes
n,>30,yes,male,yes
y,>30,yes,female,yes
n,>30,yes,female,yes
y,>30,yes,male,yes
y,<=30,yes,male,yes
n,>30,yes,female,yes
y,<=30,yes,female,yes
y,>30,no,male,no
n,>30,yes,male,yes
y,<=30,yes,male,yes
y,<=30,yes,female,yes
n,<=30,yes,male,yes
y,<=30,yes,male,no
n,>30,no,female,yes
n,>30,no,male,yes
y,<=30,yes,female,yes
n,>30,yes,male,no
y,>30,no,male,no
y,<=30,no,female,yes
y,<=30,yes,female,yes
n,<=30,yes,male,no
y,<=30,no,female,yes
n,>30,yes,female,yes
y,>30,no,female,yes
n,<=30,yes,female,yes
n,<=30,yes,male,yes
y,<=30,yes,female,no
n,<=30,yes,female,yes
n,>30,yes,female,no
n,>30,yes,female,yes
n,>30,yes,female,yes
n,>30,yes,female,no
n,>30,yes,female,yes
y,<=30,yes,female,yes
y,>30,yes,female,yes
n,>30,yes,male,yes
n,<=30,yes,female,no
n,>30,yes,male,yes
n,>30,yes,female,yes
n,<=30,yes,male,yes
n,<=30,yes,female,yes
n,>30,yes,male,yes
y,>30,yes,female,yes
y,>30,yes,male,yes
n,<=30,yes,female,yes
n,<=30,yes,male,yes
n,>30,no,female,no
y,<=30,yes,female,yes
y,<=30,no,male,yes
y,<=30,no,male,yes
n,<=30,no,male,yes
n,<=30,yes,female,yes
y,<=30,no,male,yes
y,>30,yes,male,yes
y,<=30,yes,female,no
n,>30,no,male,yes
y,<=30,no,female,no
y,<=30,yes,female,yes
n,>30,yes,male,yes
n,<=30,yes,female,yes
n,>30,yes,female,yes
n,>30,yes,female,no
n,>30,no,female,yes
n,<=30,no,female,no
y,<=30,yes,female,yes
y,<=30,yes,female,yes
y,<=30,yes,male,yes
y,<=30,yes,male,yes
n,>30,yes,male,yes
y,<=30,no,female,yes
n,<=30,yes,female,yes
n,<=30,yes,female,no
y,<=30,yes,male,no
n,>30,yes,female,yes
n,<=30,yes,male,yes
y,<=30,yes,male,yes
y,<=30,yes,female,yes
y,<=30,yes,male,yes
y,>30,yes,female,yes
n,>30,yes,male,yes
n,>30,yes,male,yes
n,>30,yes,male,yes
n,>30,no,female,yes
y,<=30,yes,male,no
n,>30,yes,female,no
y,<=30,no,female,no
y,<=30,yes,female,yes
n,<=30,no,female,no
y,<=30,yes,male,yes
y,>30,yes,male,no
n,>30,yes,male,yes
n,>30,yes,male,no
n,>30,yes,female,no
n,>30,yes,male,no
n,>30,no,female,yes
n,>30,no,male,yes
n,>30,no,female,yes
n,>30,yes,female,yes
n,>30,no,female,no
y,<=30,yes,female,yes
n,>30,yes,male,no
n,>30,yes,female,yes
y,<=30,yes,male,yes
y,<=30,yes,male,no
n,>30,yes,female,no
n,<=30,yes,female,no
n,>30,no,female,yes
n,>30,yes,female,yes
n,<=30,yes,female,no
y,<=30,yes,female,yes
n,>30,yes,female,no
n,<=30,no,female,yes
y,>30,yes,male,yes
n,<=30,no,male,yes
y,>30,yes,male,yes
n,<=30,no,female,no
n,>30,no,male,no
y,<=30,no,male,no
n,>30,no,female,no
y,<=30,no,female,yes
n,>30,yes,male,no
y,<=30,no,female,yes
n,<=30,yes,male,yes
n,>30,no,female,no
n,>30,yes,male,yes
n,<=30,no,male,yes
n,>30,yes,male,yes
n,>30,yes,female,yes
n,<=30,yes,female,yes
n,>30,no,female,yes
n,>30,no,female,yes
n,>30,yes,female,yes
n,>30,no,female,no
n,>30,no,female,yes
y,<=30,yes,female,yes
n,>30,no,female,yes
n,<=30,no,female,yes
y,>30,no,male,no
y,>30,no,female,no
y,<=30,yes,female,no
n,>30,yes,male,yes
n,>30,yes,female,no
n,>30,no,male,yes
y,>30,yes,female,yes
n,<=30,no,male,yes
n,>30,no,male,no
y,>30,no,male,no
y,<=30,no,male,no
n,<=30,yes,female,yes
y,>30,yes,male,yes
n,<=30,yes,female,yes
n,>30,no,male,yes
n,<=30,yes,male,yes
n,>30,yes,male,no
y,<=30,yes,male,yes
n,<=30,no,male,yes
n,>30,yes,female,no
n,>30,yes,male,yes
y,>30,yes,female,no
n,<=30,yes,female,yes
n,>30,yes,female,yes
y,>30,no,male,yes
y,<=30,yes,female,yes
y,>30,no,male,yes
n,<=30,yes,female,yes
y,>30,yes,male,yes
n,<=30,no,male,no
n,>30,no,female,yes
y,>30,yes,female,yes
n,>30,yes,female,yes
n,<=30,yes,female,yes
n,<=30,yes,female,yes
n,>30,yes,male,no
y,>30,yes,male,yes
n,<=30,yes,male,yes
n,<=30,no,male,yes
n,<=30,yes,female,yes
y,<=30,no,female,no
n,>30,yes,female,yes
n,<=30,no,female,yes
y,<=30,no,female,yes
y,<=30,yes,male,yes
n,>30,no,male,yes
y,<=30,yes,female,yes
n,>30,yes,female,yes
n,>30,no,male,yes
n,<=30,yes,female,no
n,<=30,no,female,no
n,>30,no,female,yes
n,>30,yes,male,yes
y,>30,no,female,yes
n,<=30,no,male,no
y,<=30,no,female,yes
y,>30,yes,female,no
n,>30,no,female,yes
y,<=30,no,female,yes
n,<=30,yes,female,no
n,>30,no,male,no
n,>30,no,female,yes
y,>30,yes,male,yes
y,>30,yes,female,yes
y,<=30,yes,male,yes
n,>30,yes,female,yes
y,>30,yes,female,yes
n,>30,yes,female,yes
n,<=30,yes,female,yes
y,<=30,no,female,yes
n,<=30,yes,female,yes
y,>30,yes,female,no
y,<=30,yes,female,yes
y,<=30,yes,female,no
y,<=30,no,female,yes
n,<=30,yes,female,yes
n,<=30,yes,female,no
n,>30,yes,female,yes
n,<=30,no,female,no
y,<=30,yes,female,no
y,<=30,yes,male,no
y,>30,yes,female,yes
y,<=30,yes,female,no
n,<=30,yes,female,yes
n,>30,yes,female,no
y,<=30,no,female,no
n,>30,no,male,yes
n,>30,no,male,no
n,>30,no,female,yes
y,>30,no,male,yes
n,<=30,yes,female,yes
n,<=30,no,male,no
n,>30,yes,female,yes
y,<=30,no,male,yes
n,<=30,yes,female,no
y,<=30,no,male,yes
y,<=30,no,male,yes
n,<=30,no,male,yes
y,<=30,no,female,yes
n,>30,yes,female,yes
y,<=30,yes,female,yes
n,>30,yes,male,yes
n,>30,yes,male,no
y,>30,yes,male,yes
y,<=30,yes,female,yes
n,>30,yes,female,yes
n,<=30,no,female,no
n,<=30,yes,female,yes
y,<=30,yes,female,yes
y,>30,no,female,yes
n,>30,yes,female,yes
n,>30,yes,female,no
y,>30,no,female,yes
n,>30,yes,male,yes
y,<=30,yes,female,yes
n,>30,yes,male,yes
n,>30,yes,male,yes
y,<=30,no,male,yes
y,>30,yes,male,yes
y,<=30,no,male,yes
y,<=30,yes,male,yes
n,>30,yes,female,yes
y,<=30,yes,female,no
n,<=30,no,female,yes
n,<=30,no,male,yes
n,<=30,no,female,yes
y,>30,yes,male,yes
y,>30,no,female,yes
n,>30,no,male,yes
y,<=30,no,male,yes
n,<=30,yes,male,yes
n,>30,yes,male,no
n,>30,no,male,yes
n,>30,yes,male,yes
n,>30,no,female,no
y,<=30,yes,female,yes
n,>30,yes,female,no
n,<=30,no,male,yes
n,<=30,no,male,no
n,>30,no,male,no
y,>30,no,female,yes
n,>30,no,female,yes
n,>30,yes,female,yes
y,<=30,yes,female,yes
y,<=30,yes,male,no
y,>30,yes,female,no
n,<=30,yes,male,no
n,<=30,yes,female,yes
n,<=30,yes,female,yes
n,>30,no,male,no
n,<=30,no,male,yes
n,>30,no,female,no
y,<=30,yes,female,yes
n,>30,yes,male,yes
y,>30,yes,male,yes
n,>30,yes,female,no
y,<=30,no,female,no
y,<=30,no,male,yes
y,<=30,no,male,yes
n,<=30,no,female,no
y,<=30,yes,female,yes
n,>30,yes,male,no
n,>30,yes,male,yes
y,<=30,yes,female,yes
y,<=30,no,male,no
n,>30,yes,female,yes
n,>30,yes,female,no
